,city,country,lat,lng,temp,humidity,cloudiness,wind_speed
0,constitucion,mx,17.437637905726717,-122.9093625527269,73.78,100,68,16.82
1,berezovyy,ru,51.969478161930574,134.99506326837908,18.43,50,68,5.3
2,souillac,mu,-63.225670703128436,77.84678277565453,33.1,98,68,32.14
3,ushuaia,ar,-58.85986760320072,-53.41379330814923,36.07,100,44,21.52
4,durango,us,37.63203383069071,-107.5882589592195,33.35,77,1,4.7
5,barentsburg,sj,85.6651638337603,4.2535061256945,4.12,90,80,36.73
6,isangel,vu,-20.142255286030096,169.9189535776876,81.88,100,0,14.47
7,cape town,za,-52.51596532260954,-7.050183090595407,38.68,93,92,16.15
8,tuktoyaktuk,ca,72.18266415142745,-127.6631876786,-0.83,68,44,6.64
9,ligayan,ph,3.57111715176789,119.5758504446847,83.59,100,0,16.49
10,kieta,pg,-1.65270577700537,157.29102650686994,81.88,100,80,4.63
11,osorno,cl,-40.61992725489441,-73.6405181343929,51.82,100,92,6.87
12,illoqqortoormiut,gl,81.52265903328785,-13.604594417133288,-11.18,74,64,36.62
13,zhigansk,ru,68.38863855749526,120.98816645534484,-9.2,33,36,4.74
14,chiredzi,zw,-21.702643772417304,31.895027432873032,67.3,99,92,16.26
15,georgetown,sh,-12.073464669294427,-17.617618709404635,76.93,100,92,13.69
16,oranjestad,aw,13.823694118525767,-71.09509270137751,79.63,97,68,22.86
17,gamboula,cf,4.721132722277251,15.018587728022615,68.47,96,20,6.76
18,hithadhoo,mv,-10.0799918794582,74.20145455983484,82.51,100,8,15.03
19,mataura,pf,-70.2438777421339,-144.59952592550124,33.1,87,92,32.48
20,rupert,us,43.018003582053296,-113.83026393656472,36.1,85,90,9.17
21,bajil,ye,15.285187289482877,42.999078116965876,80.53,56,56,4.29
22,busselton,au,-80.96286917080543,85.10517815284848,-73.37,0,0,7.43
23,punta arenas,cl,-87.15177654488099,-94.4173084449859,-33.59,44,44,12.8
24,cabo san lucas,mx,18.611495492980836,-113.25575010397458,74.41,100,0,15.48
25,hun,ly,27.859800574668146,15.712251755370506,69.37,26,36,19.51
26,bredasdorp,za,-71.33146286380831,26.162442237432565,14.74,75,12,18.72
27,viedma,ar,-46.344795296851025,-58.337945995253556,58.12,100,92,22.3
28,juneau,us,58.52298835273483,-132.14975230365047,18.25,76,0,1.72
29,miyako,jp,39.84850914325892,143.08473864423686,37.96,100,0,11.34
30,taolanaro,mg,-63.85604267604047,58.12709046833207,33.28,95,64,25.55
31,vila velha,br,-23.96383518105255,-31.5588469639517,79.9,100,64,19.73
32,ponta delgada,pt,30.187066817405338,-27.208749604029695,64.24,100,0,2.28
33,nikolskoye,ru,50.8753339857701,172.06562222921718,34.9,100,44,24.87
34,hobart,au,-56.26213310560571,151.51841449219788,42.28,90,68,22.97
35,avarua,ck,-44.48684023550756,-162.32401731717087,58.21,100,0,23.98
36,camacha,pt,34.84967564638458,-12.835136833657616,61.9,100,24,22.19
37,makung,tw,22.592182802290637,118.62395893615998,70.54,100,0,20.96
38,port elizabeth,za,-81.1637805885437,36.32186956297398,-63.74,0,12,12.68
39,rikitea,pf,-73.35909125310688,-135.47379490804,31.84,90,92,29.46
40,qaanaaq,gl,87.75923851108115,-68.203709033451,-17.93,53,24,13.02
41,kashi,cn,38.3105424445023,75.34253104640341,11.5,90,0,1.83
42,albany,au,-66.09313685148128,117.69357842989365,12.85,99,68,22.53
43,lebu,cl,-36.49709559990237,-82.05675728147156,61.9,100,44,23.98
44,saint george,bm,31.87017975812225,-49.646142146095855,67.48,100,68,20.29
45,pyapon,mm,16.33884148305053,95.59727315747058,92.23,58,0,1.83
46,balikpapan,id,-1.4423139288212927,118.05537005202672,83.86,100,0,10.67
47,cidreira,br,-60.49485269805529,-19.20594429073676,34.81,98,88,14.7
48,fairbanks,us,70.2285170773908,-142.66679485193683,-7.61,83,90,12.75
49,mglin,ru,53.28002367196404,32.618211200925145,10.06,81,92,17.27
50,bluff,nz,-59.36752007533197,164.70072839073464,41.11,92,92,26.33
51,vaini,to,-53.95507230261426,-173.81928732004542,46.51,100,76,19.28
52,lavrentiya,ru,71.4680815879626,-173.27843932857445,-5.6,71,56,26.55
53,dharchula,in,31.96237874138637,81.42315914597856,17.53,47,36,6.87
54,poso,id,-0.5275998578149255,120.81281382300311,85.84,100,0,5.41
55,diego de almagro,cl,-26.57658460499155,-69.34593632094865,47.68,94,0,1.61
56,cockburn town,tc,22.647036146104664,-70.82657254821393,73.33,100,92,11.79
57,garmsar,ir,34.86436191923635,52.059108237524406,61.36,53,0,7.76
58,luanda,ao,-9.83566119765576,12.01334188987891,82.06,100,80,3.51
59,amontada,br,-3.2036258489882243,-39.86324915460353,79.09,100,0,5.86
60,kapaa,us,30.267342025340973,-174.4001955568828,63.16,100,76,30.13
61,borovikha,ru,53.617518109569936,83.88867965181925,14,85,32,4.47
62,port alfred,za,-87.36857435503316,52.25828488246013,-64.55,0,32,4.74
63,faanui,pf,-7.470929408567773,-150.56574742650906,82.42,98,92,17.72
64,qasigiannguit,gl,67.03149614476351,-50.682727760975915,-13.01,75,24,9.17
65,bielsko-biala,pl,49.6385659403827,19.197069561210874,26.58,80,75,8.05
66,new norfolk,au,-70.92177522236757,129.20877149182658,-47.09,0,0,16.04
67,arraial do cabo,br,-41.241454583988315,-31.0666382557174,63.97,100,80,17.6
68,brigantine,us,38.390293027062135,-73.11454821093697,43,100,0,28.12
69,xuddur,so,4.375611580027555,45.06785076349171,79.54,68,8,6.2
70,bambous virieux,mu,-32.16460186662697,82.32816442340093,68.2,100,76,20.62
71,atuona,pf,-12.286574018470947,-134.92376516856808,80.17,100,80,20.4
72,yellowknife,ca,69.91357060939212,-117.98606458938563,7.63,84,48,17.83
73,kavaratti,in,12.226190781104663,72.77923274395117,81.7,100,68,7.09
74,carnarvon,au,-22.961423721941987,105.50811102934001,76.3,100,0,21.41
75,mar del plata,ar,-51.211197577771436,-47.093099659311726,46.06,92,0,22.19
76,mayo,ca,66.48309650950807,-141.26330944988007,20.5,93,92,2.73
77,chunskiy,ru,55.81922906167961,100.05473654133047,29.68,76,92,6.98
78,mahebourg,mu,-36.52558583990964,69.04746640041613,66.13,100,68,11.9
79,marcona,pe,-17.78569798794353,-77.26643211476917,72.61,100,32,13.13
